celltype,repetition,regelem,h5
ORSAM2344,1,enhancer, ../nxf-scripts/mm10-enh-pr/enhancer_COscore.ORSAM2344.rep1.h5.gz 
ORSAM2344,1,promoter, ../nxf-scripts/mm10-enh-pr/promoter_COscore.ORSAM2344.rep1.h5.gz
ORSAM2344,2,enhancer, ../nxf-scripts/mm10-enh-pr/enhancer_COscore.ORSAM2344.rep2.h5.gz 
ORSAM2344,2,promoter, ../nxf-scripts/mm10-enh-pr/promoter_COscore.ORSAM2344.rep2.h5.gz
ORSAM2344,3,enhancer, ../nxf-scripts/mm10-enh-pr/enhancer_COscore.ORSAM2344.rep3.h5.gz 
ORSAM2344,3,promoter, ../nxf-scripts/mm10-enh-pr/promoter_COscore.ORSAM2344.rep3.h5.gz
